comparison,metric,mean_a,mean_b,t_stat,t_pvalue,u_stat,u_pvalue
Risk-Neutral QR-DQN vs CVaR QR-DQN (ours),Total Cost,186.8417268564208,207.60627958193444,-0.1132944315980321,0.9201454516958714,1.0,0.6666666666666666
Risk-Neutral QR-DQN vs CVaR QR-DQN (ours),Catastrophe Rate,0.09666666666666666,0.115,-0.19030686163759683,0.86773076102384,1.5,1.0
Risk-Neutral QR-DQN vs CVaR QR-DQN (ours),Repairs,0.0033333333333333335,0.01,-0.6324555320336758,0.6248301115609279,1.5,1.0
Risk-Neutral QR-DQN vs CVaR QR-DQN (ours),Replacements,0.7983333333333333,1.7716666666666667,-0.5008845281490845,0.6842178547945768,1.5,1.0
Risk-Neutral QR-DQN vs CVaR QR-DQN (ours),Avg Reward,-186.8417268564208,-207.60627958193444,0.1132944315980321,0.9201454516958714,3.0,0.6666666666666666
Dueling DQN vs CVaR QR-DQN (ours),Total Cost,69.66367904678985,207.60627958193444,-1.0692780306007392,0.4785149278388824,0.0,0.3333333333333333
Dueling DQN vs CVaR QR-DQN (ours),Catastrophe Rate,0.03,0.115,-1.457142857142857,0.38289795857079745,0.0,0.22067136191984682
Dueling DQN vs CVaR QR-DQN (ours),Repairs,0.03166666666666667,0.01,0.6524512971970442,0.6167466613575103,2.5,1.0
Dueling DQN vs CVaR QR-DQN (ours),Replacements,2.6016666666666666,1.7716666666666667,0.45516954623310707,0.7215381554514854,2.0,1.0
Dueling DQN vs CVaR QR-DQN (ours),Avg Reward,-69.66367904678985,-207.60627958193444,1.0692780306007392,0.4785149278388824,4.0,0.3333333333333333
