episode,phase,ep_reward,ep_length,failure,n_repairs,n_replaces,epsilon,eval_catast,eval_mean_cost
1,train,-1010.4,175,1,0,59,0.9997,,
2,train,-188.8,15,1,0,9,0.9994,,
3,train,-2065.611,400,0,0,123,0.9991,,
4,train,-466.0,74,1,0,28,0.9988,,
5,train,-647.2,107,1,0,39,0.9985,,
6,train,-738.9,139,1,0,46,0.9982,,
7,train,-531.7,87,1,0,33,0.9979,,
8,train,-2091.299,400,0,3,139,0.9976,,
9,train,-1968.05,400,0,3,143,0.9973,,
10,train,-1811.09,358,1,0,128,0.997,,
11,train,-1036.8,168,1,0,51,0.99671,,
12,train,-142.8,9,1,0,2,0.99641,,
13,train,-925.7,144,1,0,43,0.99611,,
14,train,-669.0,111,1,0,41,0.99581,,
15,train,-256.8,34,1,0,16,0.99551,,
16,train,-514.011,75,1,0,34,0.99521,,
17,train,-774.166,157,1,0,54,0.99491,,
18,train,-1062.245,188,1,0,66,0.99462,,
19,train,-594.9,97,1,0,19,0.99432,,
20,train,-1961.6,400,0,1,110,0.99402,,
21,train,-506.3,74,1,0,31,0.99372,,
22,train,-1931.367,400,0,0,111,0.99342,,
23,train,-143.3,9,1,0,4,0.99313,,
24,train,-453.4,73,1,0,23,0.99283,,
25,train,-594.9,88,1,0,25,0.99253,,
26,train,-135.2,7,1,0,3,0.99223,,
27,train,-2187.081,382,1,0,125,0.99194,,
28,train,-463.9,67,1,0,25,0.99164,,
29,train,-1464.3,297,1,0,80,0.99134,,
30,train,-600.6,104,1,0,33,0.99104,,
31,train,-1488.7,270,1,0,108,0.99075,,
32,train,-887.101,140,1,0,51,0.99045,,
33,train,-692.5,129,1,0,35,0.99015,,
34,train,-686.5,108,1,0,30,0.98986,,
35,train,-1296.591,246,1,0,76,0.98956,,
36,train,-787.4,142,1,0,42,0.98926,,
37,train,-978.4,149,1,0,48,0.98897,,
38,train,-298.1,39,1,0,18,0.98867,,
39,train,-401.1,71,1,0,20,0.98838,,
40,train,-290.5,40,1,0,20,0.98808,,
41,train,-1981.78,400,0,2,139,0.98778,,
42,train,-2153.27,400,0,2,134,0.98749,,
43,train,-1923.2,400,0,0,117,0.98719,,
44,train,-869.567,148,1,0,52,0.9869,,
45,train,-788.066,147,1,0,45,0.9866,,
46,train,-894.9,167,1,0,55,0.98631,,
47,train,-129.0,9,1,0,2,0.98601,,
48,train,-486.35,79,1,0,26,0.98571,,
49,train,-1894.665,400,0,2,124,0.98542,,
50,train,-2072.232,394,1,0,148,0.98512,,
51,train,-127.3,7,1,0,2,0.98483,,
52,train,-738.2,125,1,0,46,0.98453,,
53,train,-587.8,93,1,0,38,0.98424,,
54,train,-1392.735,267,1,0,86,0.98394,,
55,train,-145.6,7,1,0,5,0.98365,,
56,train,-212.4,19,1,0,7,0.98336,,
57,train,-209.4,19,1,0,7,0.98306,,
58,train,-1968.875,400,0,1,118,0.98277,,
59,train,-2158.766,400,0,1,125,0.98247,,
60,train,-449.6,74,1,0,29,0.98218,,
61,train,-1167.51,202,1,0,85,0.98188,,
62,train,-301.4,35,1,0,14,0.98159,,
63,train,-1160.549,210,1,0,77,0.9813,,
64,train,-275.386,33,1,0,13,0.981,,
65,train,-2019.405,400,0,2,132,0.98071,,
66,train,-387.3,48,1,0,20,0.98042,,
67,train,-1175.795,200,1,0,75,0.98012,,
68,train,-1981.1,400,0,0,125,0.97983,,
69,train,-430.5,80,1,0,21,0.97954,,
70,train,-1839.142,329,1,0,111,0.97924,,
71,train,-113.6,3,1,0,1,0.97895,,
72,train,-1654.9,319,1,0,109,0.97866,,
73,train,-688.578,120,1,0,33,0.97836,,
74,train,-449.1,57,1,0,14,0.97807,,
75,train,-235.511,27,1,0,9,0.97778,,
76,train,-243.3,28,1,0,10,0.97749,,
77,train,-187.7,18,1,0,4,0.97719,,
78,train,-567.0,101,1,0,23,0.9769,,
79,train,-318.5,43,1,0,9,0.97661,,
80,train,-812.1,152,1,0,53,0.97632,,
81,train,-660.0,127,1,0,31,0.97603,,
82,train,-713.2,125,1,0,43,0.97573,,
83,train,-1792.166,346,1,0,100,0.97544,,
84,train,-1080.7,206,1,0,66,0.97515,,
85,train,-474.4,78,1,0,24,0.97486,,
86,train,-1181.1,229,1,0,82,0.97457,,
87,train,-1984.802,400,0,0,133,0.97427,,
88,train,-539.052,82,1,0,26,0.97398,,
89,train,-1806.723,343,1,0,113,0.97369,,
90,train,-1567.1,322,1,0,95,0.9734,,
91,train,-1553.524,294,1,0,109,0.97311,,
92,train,-586.7,98,1,0,35,0.97282,,
93,train,-1023.9,191,1,0,60,0.97253,,
94,train,-2015.446,400,0,1,124,0.97224,,
95,train,-177.5,16,1,0,6,0.97195,,
96,train,-958.3,163,1,0,59,0.97166,,
97,train,-389.6,58,1,0,18,0.97137,,
98,train,-1333.0,235,1,0,79,0.97108,,
99,train,-1803.074,341,1,0,114,0.97078,,
100,train,-507.319,84,1,0,27,0.97049,,
101,train,-220.8,24,1,0,11,0.9702,,
102,train,-976.3,173,1,0,54,0.96991,,
103,train,-1686.2,339,1,0,111,0.96962,,
104,train,-237.0,20,1,0,11,0.96933,,
105,train,-175.3,18,1,0,6,0.96904,,
106,train,-109.1,1,1,0,0,0.96876,,
107,train,-1008.83,173,1,0,53,0.96847,,
108,train,-2012.0,400,0,0,134,0.96818,,
109,train,-1173.4,224,1,0,64,0.96789,,
110,train,-239.3,25,1,0,9,0.9676,,
111,train,-162.7,11,1,0,4,0.96731,,
112,train,-332.9,50,1,0,14,0.96702,,
113,train,-943.0,162,1,0,56,0.96673,,
114,train,-863.188,181,1,0,50,0.96644,,
115,train,-400.8,74,1,0,20,0.96615,,
116,train,-1956.647,378,1,0,118,0.96586,,
117,train,-1855.246,400,0,0,123,0.96558,,
118,train,-270.4,37,1,0,14,0.96529,,
119,train,-1260.5,221,1,0,77,0.965,,
120,train,-809.011,120,1,0,41,0.96471,,
121,train,-912.5,179,1,0,46,0.96442,,
122,train,-175.0,15,1,0,6,0.96413,,
123,train,-1340.4,253,1,0,91,0.96385,,
124,train,-1857.469,400,0,0,128,0.96356,,
125,train,-1169.3,211,1,0,76,0.96327,,
126,train,-978.235,173,1,0,55,0.96298,,
127,train,-1743.956,341,1,0,110,0.9627,,
128,train,-195.0,23,1,0,6,0.96241,,
129,train,-902.4,160,1,0,60,0.96212,,
130,train,-1888.013,400,0,1,119,0.96183,,
131,train,-1708.449,344,1,0,100,0.96155,,
132,train,-1555.1,300,1,0,88,0.96126,,
133,train,-765.7,137,1,0,43,0.96097,,
134,train,-1429.852,284,1,0,92,0.96068,,
135,train,-601.5,101,1,0,33,0.9604,,
136,train,-684.19,114,1,0,38,0.96011,,
137,train,-1830.224,400,0,2,116,0.95982,,
138,train,-741.3,112,1,0,25,0.95954,,
139,train,-1209.5,225,1,0,64,0.95925,,
140,train,-1871.19,400,0,0,120,0.95896,,
141,train,-381.3,71,1,0,18,0.95868,,
142,train,-899.8,161,1,0,56,0.95839,,
143,train,-527.044,81,1,0,27,0.95811,,
144,train,-252.1,36,1,0,9,0.95782,,
145,train,-1973.7,400,0,2,133,0.95753,,
146,train,-737.495,123,1,0,32,0.95725,,
147,train,-1129.001,212,1,0,82,0.95696,,
148,train,-345.3,56,1,0,24,0.95668,,
149,train,-1658.1,330,1,0,118,0.95639,,
150,train,-920.4,201,1,0,61,0.95611,,
151,train,-1952.558,390,1,0,119,0.95582,,
152,train,-1773.035,400,0,2,113,0.95554,,
153,train,-1950.381,400,0,0,128,0.95525,,
154,train,-2074.074,400,0,2,121,0.95497,,
155,train,-1048.5,200,1,0,75,0.95468,,
156,train,-923.057,150,1,0,44,0.9544,,
157,train,-215.1,27,1,0,8,0.95411,,
158,train,-142.2,8,1,0,3,0.95383,,
159,train,-2067.146,400,0,1,133,0.95354,,
160,train,-453.0,73,1,0,22,0.95326,,
161,train,-364.498,51,1,0,16,0.95297,,
162,train,-1900.209,400,0,0,129,0.95269,,
163,train,-980.3,182,1,0,43,0.9524,,
164,train,-1906.265,400,0,0,138,0.95212,,
165,train,-1956.174,400,0,0,140,0.95184,,
166,train,-1981.17,400,0,0,138,0.95155,,
167,train,-1886.7,400,0,1,115,0.95127,,
168,train,-420.3,72,1,0,22,0.95099,,
169,train,-109.1,1,1,0,0,0.9507,,
170,train,-330.3,59,1,0,18,0.95042,,
171,train,-1086.966,201,1,0,63,0.95013,,
172,train,-477.4,95,1,0,27,0.94985,,
173,train,-1020.5,181,1,0,53,0.94957,,
174,train,-828.4,146,1,0,46,0.94928,,
175,train,-506.0,83,1,0,22,0.949,,
176,train,-1783.251,336,1,0,103,0.94872,,
177,train,-1354.7,262,1,0,84,0.94844,,
178,train,-1407.911,279,1,0,90,0.94815,,
179,train,-743.6,154,1,0,44,0.94787,,
180,train,-108.1,2,1,0,1,0.94759,,
181,train,-329.0,52,1,0,17,0.94731,,
182,train,-524.6,96,1,0,37,0.94702,,
183,train,-706.6,139,1,0,45,0.94674,,
184,train,-1022.6,179,1,0,49,0.94646,,
185,train,-751.4,129,1,0,44,0.94618,,
186,train,-241.05,25,1,0,10,0.94589,,
187,train,-421.4,63,1,0,24,0.94561,,
188,train,-1788.813,345,1,0,123,0.94533,,
189,train,-952.4,168,1,0,51,0.94505,,
190,train,-703.9,132,1,0,39,0.94477,,
191,train,-109.1,1,1,0,0,0.94449,,
192,train,-758.293,139,1,0,39,0.9442,,
193,train,-14.5,3,0,2,0,0.94392,,
194,train,-250.3,34,1,0,8,0.94364,,
195,train,-780.2,151,1,0,56,0.94336,,
196,train,-698.2,127,1,0,37,0.94308,,
197,train,-563.246,101,1,0,34,0.9428,,
198,train,-1840.0,400,0,2,118,0.94252,,
